"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"GDPD1" 7.04428405555185 6.19104822566806 6.25911083948979 6.55983993044691 6.37929537642454
"PIK3IP1" 5.98299500264775 5.90283545803068 5.936974084297 5.97444656340175 5.94676779639815
"LILRA5" 5.60805350628937 5.88003811414256 6.19290124470904 5.94138788356231 5.93509364401124
"SAMSN1" 8.17867316843231 9.51100766211515 7.17390151979608 6.40032529482871 8.3161377450953
"TREML1" 5.92881005158122 5.82634848542303 5.93485814328322 6.47065367062751 6.39716283627886
"GSX1" 4.70206597773094 4.73385290869857 4.91580635281253 4.6552058070305 4.74047183921719
"KCNIP3" 5.40059333916357 5.58515406578093 5.51305211334946 5.60398195972896 5.58221178137737
"CMTM3" 5.7131606745065 6.27195626208438 6.25112712086699 5.91350195610421 6.01730048716865
"TAGLN" 6.80171274533163 7.00778163612202 7.03147629791708 7.10872993920669 7.01265970259155
"MS4A4A" 4.64387824408248 4.80958110286872 4.53667714564518 6.90895193500281 5.72499280291355
"CD209" 4.23683312918033 4.4323788964927 4.40952923457768 4.39122055986655 4.47332777797754
"AGTRAP" 7.48141530853275 7.89539193531875 8.97133571518067 9.37134381514804 8.68975202381032
"LYZ" 5.57149030014701 5.4812566810583 5.70039713481897 8.65748184575298 7.37983146304112
"GNG4" 6.05673006584931 5.09621299417665 5.18269604597011 5.92469810806693 5.59301566264924
"GNG2" 5.85831854084989 5.3136899571687 5.19646901367666 4.89938690821903 5.05692659612924
"CD79A" 6.71141610958 10.6143546572229 11.8787238091716 7.63997923289682 10.1753433384044
"C11orf57" 7.96036251950904 8.14397259648445 7.90429496211489 7.68183433717769 7.71664759739868
"CRISPLD2" 6.32746009332525 6.28452844834212 6.45558937425451 6.34291453846112 6.42192149227789
"ARHGDIB" 9.39824809429143 9.19829334536339 9.29032957891735 9.23689516227367 9.30668681618968
"ESYT2" 7.76454034143012 5.38761228937334 6.09957870934539 5.27993322209263 5.75947111727315
"KLF6" 8.00113020906406 8.46671850357952 8.68916341770442 7.72475333001619 8.12818543456055
"TAPSAR1" 7.31953255643215 8.71471899395023 8.4280504317295 9.66745930037286 9.0444838981721
"VIM" 3.91551972742502 3.75049337865893 3.67498038874665 3.57440098565944 3.70750679449382
"CD55" 6.36640745137489 8.22353973507847 8.63471332619063 7.50262364733734 7.73797897771645
"SLC19A1" 7.37258592583425 6.98558006356312 7.04786446993137 7.05283859584801 7.05306818105197
"MYL12A" 4.65752761930921 5.61056589742981 4.7990861456143 4.64697902493794 4.79677544068158
"MTMR11" 6.42795078093751 6.7357525566672 6.63017662051435 7.75179372497437 7.19489384378122
"HOMER2" 4.02125433883231 3.15413977150563 3.10985664710436 3.33626346095395 3.29458871705565
"RNASET2" 4.24454176616996 4.40218282616995 4.40458075094991 4.30787785269545 4.28437777985914
"CLEC2B" 3.69895586438782 4.53572751383558 4.19668489277113 3.61170424051722 3.86944951548034
"MYT1" 5.20180987656633 5.24168438085191 5.24844265880202 5.0500793602051 5.19791773740709
"C12orf76" 5.14555005568796 5.34131982963126 5.26067118348118 5.30786649761282 5.24394520572002
"COTL1" 5.80631976353995 5.67165070879848 5.8038391589168 5.72694954891798 5.65865959657376
"KY" 5.52295167075199 5.68693511970698 5.84566136955012 5.55638524582292 5.56678506315796
"HEXA" 5.41183843483258 5.03550734596604 5.07494727587714 5.37423518670949 5.13622636685331
"LINC00928" 5.9797144757994 5.91587155850391 5.9917715931741 5.80894252126962 6.01294317326814
"COL1A1" 4.57925697241237 5.28676771527754 5.49924122983825 4.19841516719364 4.93870960622771
"PVR" 7.33450254359952 7.37242608858433 7.02822805904351 7.71343223887619 7.44298829678006
"EHD4" 4.87184852172061 5.30650772624453 5.20349383925876 5.03842953046328 5.00799538564775
"DRP2" 4.8811389348117 4.61167910283527 4.72134771995168 4.62354396458272 4.46009558761367
"C1orf204" 5.41490414622323 5.14837002231974 5.17130537750995 5.44912533673356 5.35558471817719
